Defl_nm_Ex	Defl_pN_Ex	
7.350622e+000	7.343271e+003	
7.323795e+000	7.316471e+003	
7.323795e+000	7.316471e+003	
7.296968e+000	7.289671e+003	
7.296968e+000	7.289671e+003	
7.270141e+000	7.262871e+003	
7.270141e+000	7.262871e+003	
7.243313e+000	7.236070e+003	
7.243313e+000	7.236070e+003	
7.270141e+000	7.262871e+003	
7.270141e+000	7.262871e+003	
7.296968e+000	7.289671e+003	
7.323795e+000	7.316471e+003	
7.350622e+000	7.343271e+003	
7.350622e+000	7.343271e+003	
7.377449e+000	7.370072e+003	
7.377449e+000	7.370072e+003	
7.377449e+000	7.370072e+003	
7.377449e+000	7.370072e+003	
7.404276e+000	7.396872e+003	
7.404276e+000	7.396872e+003	
7.404276e+000	7.396872e+003	
7.404276e+000	7.396872e+003	
7.404276e+000	7.396872e+003	
7.404276e+000	7.396872e+003	
7.404276e+000	7.396872e+003	
7.377449e+000	7.370072e+003	
7.377449e+000	7.370072e+003	
7.377449e+000	7.370072e+003	
7.377449e+000	7.370072e+003	
7.377449e+000	7.370072e+003	
7.350622e+000	7.343271e+003	
7.350622e+000	7.343271e+003	
7.323795e+000	7.316471e+003	
7.323795e+000	7.316471e+003	
7.323795e+000	7.316471e+003	
7.323795e+000	7.316471e+003	
7.323795e+000	7.316471e+003	
7.323795e+000	7.316471e+003	
7.323795e+000	7.316471e+003	
7.350622e+000	7.343271e+003	
7.350622e+000	7.343271e+003	
7.350622e+000	7.343271e+003	
7.350622e+000	7.343271e+003	
7.350622e+000	7.343271e+003	
7.350622e+000	7.343271e+003	
7.350622e+000	7.343271e+003	
7.377449e+000	7.370072e+003	
7.377449e+000	7.370072e+003	
7.404276e+000	7.396872e+003	
7.404276e+000	7.396872e+003	
7.404276e+000	7.396872e+003	
7.404276e+000	7.396872e+003	
7.404276e+000	7.396872e+003	
7.404276e+000	7.396872e+003	
7.404276e+000	7.396872e+003	
7.377449e+000	7.370072e+003	
7.377449e+000	7.370072e+003	
7.350622e+000	7.343271e+003	
7.350622e+000	7.343271e+003	
7.323795e+000	7.316471e+003	
7.323795e+000	7.316471e+003	
7.296968e+000	7.289671e+003	
7.296968e+000	7.289671e+003	
7.270141e+000	7.262871e+003	
7.243313e+000	7.236070e+003	
7.243313e+000	7.236070e+003	
7.243313e+000	7.236070e+003	
7.243313e+000	7.236070e+003	
7.243313e+000	7.236070e+003	
7.270141e+000	7.262871e+003	
7.296968e+000	7.289671e+003	
7.323795e+000	7.316471e+003	
7.377449e+000	7.370072e+003	
7.404276e+000	7.396872e+003	
7.431103e+000	7.423672e+003	
7.457930e+000	7.450472e+003	
7.457930e+000	7.450472e+003	
7.484757e+000	7.477272e+003	
7.484757e+000	7.477272e+003	
7.484757e+000	7.477272e+003	
7.457930e+000	7.450472e+003	
7.457930e+000	7.450472e+003	
7.457930e+000	7.450472e+003	
7.457930e+000	7.450472e+003	
7.457930e+000	7.450472e+003	
7.431103e+000	7.423672e+003	
7.431103e+000	7.423672e+003	
7.404276e+000	7.396872e+003	
7.404276e+000	7.396872e+003	
7.404276e+000	7.396872e+003	
7.404276e+000	7.396872e+003	
7.404276e+000	7.396872e+003	
7.404276e+000	7.396872e+003	
7.404276e+000	7.396872e+003	
7.404276e+000	7.396872e+003	
7.404276e+000	7.396872e+003	
7.404276e+000	7.396872e+003	
7.404276e+000	7.396872e+003	
7.404276e+000	7.396872e+003	
7.404276e+000	7.396872e+003	
7.404276e+000	7.396872e+003	
7.377449e+000	7.370072e+003	
7.377449e+000	7.370072e+003	
7.377449e+000	7.370072e+003	
7.377449e+000	7.370072e+003	
7.377449e+000	7.370072e+003	
7.377449e+000	7.370072e+003	
7.377449e+000	7.370072e+003	
7.377449e+000	7.370072e+003	
7.377449e+000	7.370072e+003	
7.377449e+000	7.370072e+003	
7.377449e+000	7.370072e+003	
7.377449e+000	7.370072e+003	
7.377449e+000	7.370072e+003	
7.350622e+000	7.343271e+003	
7.323795e+000	7.316471e+003	
7.323795e+000	7.316471e+003	
7.323795e+000	7.316471e+003	
7.323795e+000	7.316471e+003	
7.323795e+000	7.316471e+003	
7.323795e+000	7.316471e+003	
7.350622e+000	7.343271e+003	
7.350622e+000	7.343271e+003	
7.377449e+000	7.370072e+003	
7.404276e+000	7.396872e+003	
7.431103e+000	7.423672e+003	
7.431103e+000	7.423672e+003	
7.431103e+000	7.423672e+003	
7.431103e+000	7.423672e+003	
7.404276e+000	7.396872e+003	
7.377449e+000	7.370072e+003	
7.350622e+000	7.343271e+003	
7.323795e+000	7.316471e+003	
7.296968e+000	7.289671e+003	
7.296968e+000	7.289671e+003	
7.270141e+000	7.262871e+003	
7.270141e+000	7.262871e+003	
7.270141e+000	7.262871e+003	
7.270141e+000	7.262871e+003	
7.270141e+000	7.262871e+003	
7.270141e+000	7.262871e+003	
7.296968e+000	7.289671e+003	
7.323795e+000	7.316471e+003	
7.323795e+000	7.316471e+003	
7.350622e+000	7.343271e+003	
7.377449e+000	7.370072e+003	
7.404276e+000	7.396872e+003	
7.404276e+000	7.396872e+003	
7.404276e+000	7.396872e+003	
7.431103e+000	7.423672e+003	
7.431103e+000	7.423672e+003	
7.457930e+000	7.450472e+003	
7.484757e+000	7.477272e+003	
7.484757e+000	7.477272e+003	
7.511584e+000	7.504073e+003	
7.511584e+000	7.504073e+003	
7.511584e+000	7.504073e+003	
7.511584e+000	7.504073e+003	
7.484757e+000	7.477272e+003	
7.484757e+000	7.477272e+003	
7.457930e+000	7.450472e+003	
7.431103e+000	7.423672e+003	
7.404276e+000	7.396872e+003	
7.377449e+000	7.370072e+003	
7.350622e+000	7.343271e+003	
7.323795e+000	7.316471e+003	
7.296968e+000	7.289671e+003	
7.296968e+000	7.289671e+003	
7.296968e+000	7.289671e+003	
7.296968e+000	7.289671e+003	
7.323795e+000	7.316471e+003	
7.350622e+000	7.343271e+003	
7.377449e+000	7.370072e+003	
7.377449e+000	7.370072e+003	
7.404276e+000	7.396872e+003	
7.404276e+000	7.396872e+003	
7.404276e+000	7.396872e+003	
7.404276e+000	7.396872e+003	
7.404276e+000	7.396872e+003	
7.377449e+000	7.370072e+003	
7.350622e+000	7.343271e+003	
7.350622e+000	7.343271e+003	
7.323795e+000	7.316471e+003	
7.323795e+000	7.316471e+003	
7.323795e+000	7.316471e+003	
7.323795e+000	7.316471e+003	
7.323795e+000	7.316471e+003	
7.350622e+000	7.343271e+003	
7.350622e+000	7.343271e+003	
7.377449e+000	7.370072e+003	
7.404276e+000	7.396872e+003	
7.404276e+000	7.396872e+003	
7.404276e+000	7.396872e+003	
7.404276e+000	7.396872e+003	
7.404276e+000	7.396872e+003	
7.404276e+000	7.396872e+003	
7.404276e+000	7.396872e+003	
7.404276e+000	7.396872e+003	
7.404276e+000	7.396872e+003	
7.431103e+000	7.423672e+003	
7.431103e+000	7.423672e+003	
7.431103e+000	7.423672e+003	
7.431103e+000	7.423672e+003	
7.431103e+000	7.423672e+003	
7.431103e+000	7.423672e+003	
7.404276e+000	7.396872e+003	
7.377449e+000	7.370072e+003	
7.350622e+000	7.343271e+003	
7.350622e+000	7.343271e+003	
7.323795e+000	7.316471e+003	
7.323795e+000	7.316471e+003	
7.296968e+000	7.289671e+003	
7.296968e+000	7.289671e+003	
